Altium Designer Pick and Place Locations
C:\Users\tcha\AppData\Local\TempReleases\Snapshot\3\Assembly C213_noJTAG\ALPS-HPG_revC\Pick Place\Pick Place for ALPS-HPG(C213_noJTAG).txt

========================================================================================================================
File Design Information:

Date:       07/04/23
Time:       13:36
Revision:   Not in VersionControl
Variant:    C213_noJTAG
Units used: mm

Designator Comment                  Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                       Variation    
BATT1      1042P                    TopLayer    FP-1042P-MFG                    -7.2750      13.8000      0        "BATTERY HOLDER 18650 SMD TAB"                                                                                                    Fitted       
BATT-      TP                       TopLayer    TP12R                           -52.2000     15.0000      90       "Testpoint, Round 1.0mm Dia"                                                                                                      Fitted       
BATT1_A    M20-9990246              TopLayer    HDRV2W66P0X254_1X2_508X254X874P 34.4000      5.8700       270      Connector                                                                                                                         "Not Fitted" 
BATT1_B    B2B-PH-SM4-TBT(LF)(SN)   TopLayer    FP-B2B-PH-SM4-TBT_LF_SN-MFG     21.3000      6.3250       180      "CONN HEADER SMD 2POS 2MM"                                                                                                        "Not Fitted" 
BATT+      TP                       TopLayer    TP12R                           36.0000      19.7000      0        "Testpoint, Round 1.0mm Dia"                                                                                                      Fitted       
BTN1       FSMRA5JH                 TopLayer    FSMRA5JH                        -4.3500      88.9550      180      Switch                                                                                                                            Fitted       
BTN2       FSMRA5JH                 TopLayer    FSMRA5JH                        -14.0500     88.9550      180      Switch                                                                                                                            Fitted       
BTN3       PTS526SK15SMTR2LFS       TopLayer    FP-PTS526SK15SMTR2LFS-MFG       31.9000      68.2000      90       "TACT 5.2 X 5.2, 1.5 MM H, 260GF,"                                                                                                Fitted       
C2         UBXH01-20210031U0        TopLayer    Cap_0402                        37.1000      24.3000      180      "CAP CER X5R 0402 1U0 10% 6.3V"                                                                                                   Fitted       
C3         UBXH01-000026110U        TopLayer    Cap_0805_HD                     46.7000      22.8000      0        "CAP CER X5R 0805 10U 10% 25V"                                                                                                    Fitted       
C4         120-000160.1uF           TopLayer    Cap_0402_HD                     52.7000      65.0000      270      "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C5         UBXH01-00000074U7        TopLayer    Cap_0805_HD                     36.9000      22.9000      180      "CAP CER X5R 0805 4U7 10% 25V"                                                                                                    Fitted       
C7         120-00099300pF           TopLayer    Cap_0402_HD                     51.1500      87.5500      180      "Cap, Ceramic 300pF 50V 5% NP0 0402"                                                                                              "Not Fitted" 
C8         120-00099300pF           TopLayer    Cap_0402_HD                     52.9500      87.5250      180      "Cap, Ceramic 300pF 50V 5% NP0 0402"                                                                                              "Not Fitted" 
C9         UBXH01-000026110U        TopLayer    Cap_0805_HD                     40.7000      19.1000      270      "CAP CER X5R 0805 10U 10% 25V"                                                                                                    Fitted       
C10        UBXH01-0000417100N       TopLayer    Cap_0402                        42.9000      26.9000      90       "CAP CER X5R 0402 100N 10% 16V"                                                                                                   Fitted       
C11        UBXH01-202100168N        TopLayer    Cap_0402                        41.5000      26.9000      90       "CAP CER X5R 0402 68N 10% 10V"                                                                                                    Fitted       
C12        1210ZC476KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         37.6000      40.5000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  Fitted       
C13        1210ZC476KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         34.1000      40.5000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  Fitted       
C14        UBXH01-20030022U2        TopLayer    Cap_0805_HD                     51.7000      43.4000      0        "CAP CER C0G 0805 2U2 10% 6.3V"                                                                                                   Fitted       
C15        UBXH01-20030022U2        TopLayer    Cap_0805_HD                     51.6500      48.7000      0        "CAP CER C0G 0805 2U2 10% 6.3V"                                                                                                   Fitted       
C16        UBXH01-00004304U7        TopLayer    Cap_0805_HD                     2.4000       77.2000      90       "CAP CER X7R 0805 4U7 10% 25V"                                                                                                    Fitted       
C17        UBXH01-0042037100N       TopLayer    Cap_0603_HD                     0.9000       77.2000      90       "CAP CER X7R 0603 100N 10% 10V"                                                                                                   Fitted       
C18        UBXH01-00004304U7        TopLayer    Cap_0805_HD                     -1.1000      75.0000      180      "CAP CER X7R 0805 4U7 10% 25V"                                                                                                    Fitted       
C19        UBXH01-0042037100N       TopLayer    Cap_0603_HD                     -1.0000      73.5000      180      "CAP CER X7R 0603 100N 10% 10V"                                                                                                   Fitted       
C20        GRM32EE70J107ME15L       TopLayer    FP-GRM32E-0_3-0_2-IPC_C         46.6000      20.0000      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  Fitted       
C21        UBXH01-0000233100N       TopLayer    Cap_0402                        62.9500      61.3400      90       "CAP CER X7R 0402 100N 10% 16V"                                                                                                   Fitted       
C22        120-000160.1uF           TopLayer    Cap_0402_HD                     -21.5000     83.1000      180      "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C23        UBXH01-00470081N0        TopLayer    Cap_0603_HD                     60.8750      73.9400      90       "CAP CER X7R 0603 1N0 10% 25V"                                                                                                    Fitted       
C24        UBXH01-00470081N0        TopLayer    Cap_0603_HD                     58.3500      73.9400      270      "CAP CER X7R 0603 1N0 10% 25V"                                                                                                    Fitted       
C25        UBXH01-0000417100N       TopLayer    Cap_0402                        -47.4000     72.0000      180      "CAP CER X5R 0402 100N 10% 16V"                                                                                                   Fitted       
C26        1210YC226KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         57.7000      43.1000      0        "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 22uF, X7R, +22%/-56%, 20%, 16V"                                    Fitted       
C27        UBXH01-000020922N        TopLayer    Cap_0402                        60.5250      58.5150      180      "CAP CER X7R 0402 22N 10% 16V"                                                                                                    "Not Fitted" 
C28        UBXH01-000020922N        TopLayer    Cap_0402                        58.5500      58.5250      0        "CAP CER X7R 0402 22N 10% 16V"                                                                                                    "Not Fitted" 
C29        UBXH01-0000233100N       TopLayer    Cap_0402                        59.5112      51.9614      270      "CAP CER X7R 0402 100N 10% 16V"                                                                                                   Fitted       
C30        UBXH01-0000233100N       TopLayer    Cap_0402                        32.0000      76.4000      180      "CAP CER X7R 0402 100N 10% 16V"                                                                                                   Fitted       
C31        UBXH01-00470081N0        TopLayer    Cap_0603_HD                     33.6000      75.7000      270      "CAP CER X7R 0603 1N0 10% 25V"                                                                                                    Fitted       
C32        UBXH01-0000233100N       TopLayer    Cap_0402                        26.0000      76.4000      0        "CAP CER X7R 0402 100N 10% 16V"                                                                                                   Fitted       
C33        UBXH01-004702010N        TopLayer    Cap_0603_HD                     47.2000      46.8000      180      "CAP CER X7R 0603 10N 10% 25V"                                                                                                    Fitted       
C35        UBXH01-200230122uF       TopLayer    Cap_0805_HD                     39.0250      44.1000      90       "CAP CER X5R 0805 22U 20% 6.3V"                                                                                                   Fitted       
C36        UBXH01-000041422uF       TopLayer    Cap_0805_HD                     38.3750      47.1000      270      "CAP CER X5R 0805 22U 20% 25V"                                                                                                    Fitted       
C37        UBXH01-000041422uF       TopLayer    Cap_0805_HD                     36.6000      47.1000      270      "CAP CER X5R 0805 22U 20% 25V"                                                                                                    Fitted       
C38        UBXH01-004702010N        TopLayer    Cap_0603_HD                     41.4000      49.4000      0        "CAP CER X7R 0603 10N 10% 25V"                                                                                                    Fitted       
C40        UBXH01-00004171uF        TopLayer    Cap_0402                        -54.6750     20.7500      0        "CAP CER X5R 0402 1uF 10% 16V"                                                                                                    Fitted       
C1_1       120-000160.1uF           TopLayer    Cap_0402_HD                     -53.3400     41.5100      90       "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C1_2       120-000160.1uF           TopLayer    Cap_0402_HD                     -25.4000     41.5100      90       "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C1_3       120-000160.1uF           TopLayer    Cap_0402_HD                     2.5400       41.5100      90       "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C6_1       120-000160.1uF           TopLayer    Cap_0402_HD                     16.5000      80.4000      180      "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C6_2       120-000160.1uF           TopLayer    Cap_0402_HD                     3.4000       81.0000      180      "Cap, Ceramic 0.1uF 10V 10% X5R 0402"                                                                                             Fitted       
C34_1      1210ZC476KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         -34.2000     40.9000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  "Not Fitted" 
C34_2      1210ZC476KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         -6.3000      40.8000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  "Not Fitted" 
C34_3      1210ZC476KAT2A           TopLayer    FP-GRM32E-0_3-0_2-IPC_C         21.6000      40.8000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X7U, +22%/-56%, 20%, 6.3V"                                  "Not Fitted" 
C39_1      UBXH01-0000417100N       TopLayer    Cap_0402                        15.6750      84.2750      180      "CAP CER X5R 0402 100N 10% 16V"                                                                                                   Fitted       
C39_2      UBXH01-0000417100N       TopLayer    Cap_0402                        2.5250       84.2750      180      "CAP CER X5R 0402 100N 10% 16V"                                                                                                   Fitted       
