Altium Designer Pick and Place Locations
C:\Users\tcha\Desktop\ALPS-HPG\XPL-HPG-HW\XPLR-HPG-1\Pick Place\Pick Place for ALPS-HPG(C213_noJTAG).txt

========================================================================================================================
File Design Information:

Date:       14/02/23
Time:       14:52
Revision:   79541b5d039af1aaa745de6e03f4d4a23af433f7
Variant:    C213_noJTAG
Units used: mm

Designator Layer    Center-X(mm) Center-Y(mm) Rotation Variation    Footprint                       
BATT1      TopLayer -7.2750      13.8000      0        Fitted       FP-1042P-MFG                    
BATT1_A    TopLayer 34.4000      5.8700       270      "Not Fitted" HDRV2W66P0X254_1X2_508X254X874P 
BATT1_B    TopLayer 21.3000      6.3250       180      "Not Fitted" FP-B2B-PH-SM4-TBT_LF_SN-MFG     
BTN1       TopLayer -4.3500      88.9550      180      Fitted       FSMRA5JH                        
BTN2       TopLayer -14.0500     88.9550      180      Fitted       FSMRA5JH                        
BTN3       TopLayer 31.9000      68.2000      90       Fitted       FP-PTS526SK15SMTR2LFS-MFG       
C2         TopLayer 37.1000      24.3000      180      Fitted       Cap_0402                        
C3         TopLayer 46.7000      22.8000      0        Fitted       Cap_0805_HD                     
C4         TopLayer 52.7000      65.0000      270      Fitted       Cap_0402_HD                     
C5         TopLayer 36.9000      22.9000      180      Fitted       Cap_0805_HD                     
C7         TopLayer 51.1500      87.5500      180      "Not Fitted" Cap_0402_HD                     
C8         TopLayer 52.9500      87.5250      180      "Not Fitted" Cap_0402_HD                     
C9         TopLayer 40.7000      19.1000      270      Fitted       Cap_0805_HD                     
C10        TopLayer 42.9000      26.9000      90       Fitted       Cap_0402                        
C11        TopLayer 41.5000      26.9000      90       Fitted       Cap_0402                        
C12        TopLayer 37.6000      40.5000      270      Fitted       FP-GRM32E-0_3-0_2-IPC_C         
C13        TopLayer 34.1000      40.5000      270      Fitted       FP-GRM32E-0_3-0_2-IPC_C         
C14        TopLayer 51.7000      43.4000      0        Fitted       Cap_0805_HD                     
C15        TopLayer 51.6500      48.7000      0        Fitted       Cap_0805_HD                     
C16        TopLayer 2.4000       77.2000      90       Fitted       Cap_0805_HD                     
C17        TopLayer 0.9000       77.2000      90       Fitted       Cap_0603_HD                     
C18        TopLayer -1.1000      75.0000      180      Fitted       Cap_0805_HD                     
C19        TopLayer -1.0000      73.5000      180      Fitted       Cap_0603_HD                     
C20        TopLayer 46.6000      20.0000      0        Fitted       FP-GRM32E-0_3-0_2-IPC_C         
C21        TopLayer 62.9500      61.3400      90       Fitted       Cap_0402                        
C22        TopLayer -21.5000     83.1000      180      Fitted       Cap_0402_HD                     
C23        TopLayer 60.8750      73.9400      90       Fitted       Cap_0603_HD                     
C24        TopLayer 58.3500      73.9400      270      Fitted       Cap_0603_HD                     
C25        TopLayer -47.4000     72.0000      180      Fitted       Cap_0402                        
C26        TopLayer 57.7000      43.1000      0        Fitted       FP-GRM32E-0_3-0_2-IPC_C         
C27        TopLayer 60.5250      58.5150      180      "Not Fitted" Cap_0402                        
C28        TopLayer 58.5500      58.5250      0        "Not Fitted" Cap_0402                        
C29        TopLayer 59.5112      51.9614      270      Fitted       Cap_0402                        
C35        TopLayer 39.0250      44.1000      90       Fitted       Cap_0805_HD                     
C36        TopLayer 38.3750      47.1000      270      Fitted       Cap_0805_HD                     
C37        TopLayer 36.6000      47.1000      270      Fitted       Cap_0805_HD                     
C38        TopLayer 41.4000      49.4000      0        Fitted       Cap_0603_HD                     
C40        TopLayer -54.6750     20.7500      0        Fitted       Cap_0402                        
C1_1       TopLayer -53.3400     41.5100      90       Fitted       Cap_0402_HD                     
C1_2       TopLayer -25.4000     41.5100      90       Fitted       Cap_0402_HD                     
C1_3       TopLayer 2.5400       41.5100      90       Fitted       Cap_0402_HD                     
C6_1       TopLayer 16.5000      80.4000      180      Fitted       Cap_0402_HD                     
C6_2       TopLayer 3.4000       81.0000      180      Fitted       Cap_0402_HD                     
C39_1      TopLayer 15.6750      84.2750      180      Fitted       Cap_0402                        
C39_2      TopLayer 2.5250       84.2750      180      Fitted       Cap_0402                        
D2         TopLayer 59.0550      21.5900      0        Fitted       LED-0603                        
D3         TopLayer 59.0550      16.5100      0        Fitted       LED-0603                        
D4         TopLayer 59.0550      26.6700      0        Fitted       LED-0603                        
D5         TopLayer 59.0550      19.0500      0        Fitted       LED-0603                        
D6         TopLayer 61.1750      71.1150      0        Fitted       ONSC-SOT-23-3-318-08_V          
D7         TopLayer 58.0250      71.1150      180      Fitted       ONSC-SOT-23-3-318-08_V          
D8         TopLayer 52.4000      61.4000      0        "Not Fitted" LED-0603                        
D9         TopLayer 52.4000      59.6000      0        "Not Fitted" LED-0603                        
D10        TopLayer 42.4000      51.6000      180      Fitted       LED-0603                        
D11        TopLayer 51.4000      51.6000      180      Fitted       LED-0603                        
D12        TopLayer -24.3000     84.1500      0        Fitted       NXP-SOT143B-4_V                 
